Id,Prediction,Date,File,StartTime,ElapsedTime,BusyTime,Commands,editOrInsertPercentage,debugPercentage,navigationPercentage,focusPercentage,removePercentage,editPercentage,COMMAND_RATE,NAVIGATION_RATE,DEBUG_RATE,FOCUS_RATE,EDIT_RATE,REMOVE_RATE,INSERT_RATE,webLinkTimes,Web Page Visits
1,,Thu Oct 22 11:33:30 PDT 2020,SocialDistance.sml,1603391610848,116982,0,(F)1(D)2(F)2(D)2(F)2(D)1,0.0,50.0,0.0,50.0,0.0,0.0,0.08620689655172414,0.0,0.04310344827586207,0.04310344827586207,0.0,0.0,0.0,0.0,[]
,/modelData/A0UserStudy2010.arff,Thu Oct 22 11:33:30 PDT 2020,SocialDistance.sml, 1603391610848
2,,Thu Oct 22 11:35:38 PDT 2020,SocialDistance.sml,1603391738722,27844,0,(D)1(I)1(D)2(F)1(D)2,0.14285714285714285,71.42857142857143,0.0,14.285714285714285,0.0,0.0,0.25925925925925924,0.0,0.18518518518518517,0.037037037037037035,0.0,0.0,0.037037037037037035,0.0,[]
3,,Thu Oct 22 11:36:06 PDT 2020,SocialDistance.sml,1603391766566,5410555,0,(D)1(F)9(D)2(F)1(D)3(F)2,0.0,33.33333333333333,0.0,66.66666666666666,0.0,0.0,0.0033271719038817007,0.0,0.0011090573012939,0.0022181146025878,0.0,0.0,0.0,0.0,[]
4,,Thu Oct 22 13:06:26 PDT 2020,SocialDistance.sml,1603397186243,114298,0,(F)1(D)1(F)2(D)3(F)2(D)2(F)2(D)2(F)1,0.0,50.0,0.0,50.0,0.0,0.0,0.14035087719298245,0.0,0.07017543859649122,0.07017543859649122,0.0,0.0,0.0,0.0,[]
5,,Thu Oct 22 13:08:21 PDT 2020,SocialDistance.sml,1603397301643,200561,0,(F)1(D)2(F)4(D)2(F)2(D)1,0.0,41.66666666666667,0.0,58.333333333333336,0.0,0.0,0.06,0.0,0.025,0.035,0.0,0.0,0.0,0.0,[]
6,,Thu Oct 22 13:11:42 PDT 2020,SocialDistance.sml,1603397502260,495965,0,(D)1(F)8(D)2(F)2(D)3(F)1,0.0,35.294117647058826,0.0,64.70588235294117,0.0,0.0,0.03434343434343434,0.0,0.012121212121212121,0.022222222222222223,0.0,0.0,0.0,0.0,[]
8,,Thu Oct 22 13:23:42 PDT 2020,SocialDistance.sml,1603398222795,9346533,0,(I)1(D)2(F)1(D)2(F)9(D)1(F)4,0.05,25.0,0.0,70.0,0.0,0.0,0.0021399529210357373,0.0,5.349882302589343E-4,0.001497967044725016,0.0,0.0,1.0699764605178686E-4,0.0,[]
9,,Thu Oct 22 15:59:46 PDT 2020,SocialDistance.sml,1603407586810,84411,0,(F)2(D)1(F)2(D)2(F)2(D)2(F)1,0.0,41.66666666666667,0.0,58.333333333333336,0.0,0.0,0.14285714285714285,0.0,0.05952380952380952,0.08333333333333333,0.0,0.0,0.0,0.0,[]
10,,Thu Oct 22 16:01:33 PDT 2020,SocialDistance.sml,1603407693990,267057,0,(F)15(D)1,0.0,6.25,0.0,93.75,0.0,0.0,0.0599250936329588,0.0,0.003745318352059925,0.056179775280898875,0.0,0.0,0.0,0.0,[]
12,,Thu Oct 22 16:07:22 PDT 2020,SocialDistance.sml,1603408042059,26883,0,(D)6(F)3,0.0,66.66666666666666,0.0,33.33333333333333,0.0,0.0,0.34615384615384615,0.0,0.23076923076923078,0.11538461538461539,0.0,0.0,0.0,0.0,[]
14,,Thu Oct 22 16:09:40 PDT 2020,SocialDistance.sml,1603408180463,437961,0,(D)3(F)5(D)1(F)6(D)4(F)1,0.0,40.0,0.0,60.0,0.0,0.0,0.04576659038901602,0.0,0.018306636155606407,0.02745995423340961,0.0,0.0,0.0,0.0,[]
15,,Thu Oct 22 16:17:14 PDT 2020,SocialDistance.sml,1603408634342,79987,0,(F)5(D)1(F)4(D)4(F)2(D)2(F)1,0.0,36.84210526315789,0.0,63.1578947368421,0.0,0.0,0.24050632911392406,0.0,0.08860759493670886,0.1518987341772152,0.0,0.0,0.0,0.0,[]
16,,Thu Oct 22 16:18:47 PDT 2020,SocialDistance.sml,1603408727492,137586,0,(F)3(D)1(F)6(D)1,0.0,18.181818181818183,0.0,81.81818181818183,0.0,0.0,0.08029197080291971,0.0,0.014598540145985401,0.06569343065693431,0.0,0.0,0.0,0.0,[]
18,,Thu Oct 22 16:23:10 PDT 2020,SocialDistance.sml,1603408990668,1741050,0,(D)2(F)3(D)1(I)4(F)8,0.2222222222222222,16.666666666666664,0.0,61.111111111111114,0.0,0.0,0.010338885697874785,0.0,0.0017231476163124641,0.006318207926479035,0.0,0.0,0.0022975301550832855,0.0,[]
19,,Thu Oct 22 16:52:11 PDT 2020,SocialDistance.sml,1603410731916,73942,0,(D)1(F)2(D)1,0.0,50.0,0.0,50.0,0.0,0.0,0.0547945205479452,0.0,0.0273972602739726,0.0273972602739726,0.0,0.0,0.0,0.0,[]
